Badger's Nose,Plafkeria,obliquifolia,From picture,,,,,,,,,,,,,,,1.5,,,present,,,,Asymmetrical,Asymmetrical,Unlobed,Untoothed,Undulate,,,,,,,,,Acute to Obtuse,,,,present,,,,,present,,,,,,,,,Basal actinodromous,,6,,Brochidodromous,,,,Gradually increasing proximally,Uniform,Excurrent,,,,,,Percurrent,Opposite percurrent - Straight,Perpendicular,,,,,,Opposite percurrent,Regular reticulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger's Nose,Cercidiphyllum,sp,Meyer and Manchester 1998 (modified based on Myers 2003),,,,,,,,,,,,,,,1,present,,present,,,,,,Unlobed,Crenate (serrate),,Acute to Obtuse,present,,present,,,,,Obtuse to Reflex,,,present,,present,,,,present,,,,,,,,,Basal actinodromous,,7,,Brochidodromous,,,,,,,,,,,,Percurrent,,,,,,,,,,,,,,Regular,1,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger's Nose,Litseaphyllum,sp,From picture,,,,,,,,,,,,,,,2.5,present,,,,,,Symmetrical,Symmetrical,Unlobed,Untoothed,,Acute,,present,,,present,,,Acute,,,present,,,,,,,,,,,,,,,pinnate,,,,Eucamptodromous,,,,Irregular,Uniform,,,,,,,Reticulate,,,,,,,,Regular reticulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger's Nose,Rhus,sp,Meyer and Manchester 1998 (modified based on Myers 2003),,,,,,,,,,,,,,,2,,present,,present,,,Symmetrical,Asymmetrical,Unlobed,Serrate,,Acute,,,,,present,,,Acute to Obtuse,,,present,present,,,,,,,,,,,,,,pinnate,,,,Semicraspedodromous,,,,Regular,Uniform,,Present,,Less than 50% of subjacent secondary,,,Transversly ramified,,,,,,,,,,,,,,Irregular,1,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger's Nose,Ulmus,sp,Meyer and Manchester 1998 (modified based on Myers 2003),,,,,,,,,,,,,,,2.5,present,,,,,,Asymmetrical,Asymmetrical,Unlobed,Serrate,,Acute,,,,,present,,,Acute to Obtuse,,,present,,,,,,,,,,,,,,,pinnate,,,,Craspedodromous,,,,Irregular,Smoothly increasing proximally,,,,,,,Percurrent,Opposite percurrent - Sinuous,,,,,,,Regular reticulate,,,,,,Regular,1,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger's Nose,Ternstroemites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Allophylus,Allophylus flexifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Caesalpinia,Caesalpinia pecorae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Cardiospermum,Cardiospermum coloradensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Cedrelospermum,Cedrelospermum nervosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Leguminosites,Leguminosites lesquereuxiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Macginitiea,Macginitiea wyomingensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Parvileguminophyllum,Parvileguminophyllum coloradensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Populus,Populus tidwellii*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Populus,Populus wilmattae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Rhus,Rhus nigricans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Salix,Salix cockerelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Styrax,Styrax transversa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,Syzygioides,Syzygioides americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borna-Ost/Bockwitz,Platanus,Platanus neptuni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek,Betula,angustifolia,Meyer and Manchester 1998,,,,,,,,,,,,,,,2,,,present,,,,Asymmetrical,,Unlobed,Serrate,,Acute,,,,,,,,Obtuse,,,,,,,,,,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Smoothly decreasing proximally,Decurrent,,,,,,Percurrent,,Perpendicular,,,,,,,,,,,,Regular,2,,Angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek,"""Meliosma""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Butler Basin),Paracarpinus,chaneyi,Manchester and Crane 1987,,,,,,,,,,,,,,,3,present,,present,,,,Symmetrical,Symmetrical,Unlobed,Serrate,,Acute,present,,,,present,,,Acute to Obtuse,,,,present,,,,,present,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Uniform,,,,,,,Percurrent,Opposite percurrent - Straight,,,,,,,,,Good Development,,,,Regular,2,,Angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Butler Basin),Quercus,consimilis,Meyer and Manchester 1998,,,,,,,,,,,,,,,3,present,,present,,,,,Varies,Unlobed,Sometimes toothed,,Acute,present,,,,present,,,Acute,present,,,,,,,,,,,,,,,,,pinnate,,,,Mixed,,,,,,,,,,,,Percurrent,,,,,,,,Regular reticulate,,,,,,Irregular,1,,Rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Butler Basin),Cercidiphyllum,crenatum,Meyer and Manchester 1998,,,,,,,,,,,,,,,1,present,,present,,,,,,Unlobed,Crenate (serrate),,Acute to Obtuse,present,,present,,,,,Reflex,,,,,,,,,present,,,,,,,,,Basal actinodromous,,7,,Brochidodromous,,,,,,,,,,,,Percurrent,,,,,,,,,,,,,,Regular,1,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Butler Basin),Alnus,heterodonta,Meyer and Manchester 1998,,,,,,,,,,,,,,,1.5,present,,present,,,,,Asymmetrical,Unlobed,Serrate,,Acute,present,,,,present,,,Obtuse to Reflex,,,,present,,,,,present,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Smoothly decreasing proximally,,,,,,,Percurrent,Opposite percurrent - Straight,,,,,,,Opposite percurrent,Regular reticulate,,,,,Irregular,2,,Angular,,,,,Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Butler Basin),Alnus,newberryi,Meyer and Manchester 1998,,,,,,,,,,,,,,,2,present,,present,,,,,Asymmetrical,Unlobed,Serrate,,Acute,,,,,present,,,Obtuse,,,present,,,,,,,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Uniform,,,,,,,Percurrent,Opposite percurrent - Straight,,,,,,,Regular reticulate,Regular reticulate,,,,,Regular,2,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Butler Basin),Fagus,pacifica,Meyer and Manchester 1998,,,,,,,,,,,,,,,1.5,,,present,,,,Symmetrical,Symmetrical,Unlobed,Serrate,,Acute,present,,,,,,,Acute to Obtuse,present,,present,,,,,,present,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Uniform,,,,,,,Percurrent,Opposite percurrent - Sinuous,,,,,,,,,,,,,Regular,2,,Rounded,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Butler Basin),Pterocarya,sp,Meyer and Manchester 1998,,,Compound,,,,,,,,,,,,3.5,present,,present,,,,Asymmetrical,Asymmetrical,Unlobed,Serrate,,Acute,present,,,,,,,Acute to Obtuse,present,,present,,,,,,present,,,,,,,,,pinnate,,,,Brochidodromous,,,,,Uniform,,,,,,,Percurrent,Opposite percurrent - Straight,,,,,,,,,,,,,Regular,1,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Butler Basin),Malus,,Meyer and Manchester 1998,,,,,,,,,,,,,,,2.2,present,,,,,,,Symmetrical,Unlobed,Serrate,,Acute to Obtuse,present,,present,,,,,Acute,present,,,,,,,,,,,,,,,,,pinnate,,,,Brochidodromous,,,,,Inconsistent,,Present,,More than 50% of subjacent secondary,,,,,,,,,,Looped,Irregular reticulate,Freely ramifying,,,,,Regular,1,,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Paracarpinus,chaneyi,Manchester and Crane 1987,,,,,,,,,,,,,,,3,present,,present,,,,Symmetrical,Symmetrical,Unlobed,Serrate,,Acute,present,,,,present,,,Acute to Obtuse,,,,present,,,,,present,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Uniform,,,,,,,Percurrent,Opposite percurrent - Straight,,,,,,,,,Good Development,,,,Regular,2,,Angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Quercus,consimilis,Meyer and Manchester 1998,,,,,,,,,,,,,,,3,present,,present,,,,,Varies,Unlobed,Sometimes toothed,,Acute,present,,,,present,,,Acute,present,,,,,,,,,,,,,,,,,pinnate,,,,Mixed,,,,,,,,,,,,Percurrent,,,,,,,,Regular reticulate,,,,,,Irregular,1,,Rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Amelanchier,covea,From picture,,,,,,,,,,,,,,,1.5,present,,,,,,Symmetrical,Symmetrical,Unlobed,Serrate,,Obtuse,present,,present,,,,,Acute to Obtuse,present,,present,,,,,,,,,,,,,,,pinnate,,,,Semicraspedodromous,,,,,Uniform,,,,,,,Percurrent,Opposite percurrent - Straight,,,,,,,Regular reticulate,,,,,,Regular,1,,Angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Cercidiphyllum,crenatum,Meyer and Manchester 1998,,,,,,,,,,,,,,,1,present,,present,,,,,,Unlobed,Crenate (serrate),,Acute to Obtuse,present,,present,,,,,Reflex,,,,,,,,,present,,,,,,,,,Basal actinodromous,,7,,Brochidodromous,,,,,,,,,,,,Percurrent,,,,,,,,,,,,,,Regular,1,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Acer,glabroides,Wolfe and Tanai 1988,,,,,,,,,,,,,,,1,present,,,,,,,Symmetrical,Palmately Lobed,Serrate,,Acute,present,,,,,,,Obtuse to Reflex,,,,present,,,,,present,,,,,,,,,Basal actinodromous,,3,,Craspedodromous,,,,,Uniform,,,,,,,,,,,,,,,,,,,,,Regular,2,,Rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Amelanchier,grayi,Meyer and Manchester 1998,,,,,,,,,,,,,,,1.5,,present,present,,,,Symmetrical,Symmetrical,Unlobed,Serrate,,Acute to Obtuse,present,,present,,,,,Obtuse,present,,present,,,,,,,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Uniform,Decurrent,,,,,,Percurrent,Opposite percurrent - Sinuous,Perpendicular,,,,,,,,,,,,Regular,1,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Alnus,heterodonta,Meyer and Manchester 1998,,,,,,,,,,,,,,,1.5,present,,present,,,,,Asymmetrical,Unlobed,Serrate,,Acute,present,,,,present,,,Obtuse to Reflex,,,,present,,,,,present,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Smoothly decreasing proximally,,,,,,,Percurrent,Opposite percurrent - Straight,,,,,,,Opposite percurrent,Regular reticulate,,,,,Irregular,2,,Angular,,,,,Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Tilia,lamottei,Meyer and Manchester 1998,,,,,,,,,,,,,,,1,,,present,,,,Asymmetrical,Asymmetrical,Unlobed,Serrate,,,,,,,,,,Reflex,,,,,,,,,present,,,,,,,,,Basal actinodromous,,7,,Craspedodromous,,,,Gradually increasing proximally,Uniform,,,,,,,Percurrent,Opposite percurrent - Straight,,,,,,,Regular reticulate,Regular reticulate,,,,,Irregular,1,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Crataegus,merriami,From picture,,,,,,,,,,,,,,,2,present,,present,,,,Asymmetrical,Asymmetrical,Pinnately Lobed,Serrate,,Acute to Obtuse,present,present,,,,,,obtuse,,,present,,,,,,,,,,,,,,,pinnate,,,,Craspedodromous,,,,Gradually increasing proximally,Uniform,Decurrent,,,,,,,,,,,,,,,,,,,,Irregular,2,,Angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Cedrela,merrillii,Meyer and Manchester 1998,,,,,,,,,,,,,,,,present,,,,,,,Asymmetrical,Unlobed,Crenate (serrate),,Acute,,,,,present,,,obtuse,,,present,,,,,,,,,,,,,,,pinnate,,,,Eucamptodromous,,,,Regular,Uniform,,Present,,Less than 50% of subjacent secondary,,,Percurrent,Alternate percurrent,,,,,,,,,,,,,Irregular,1,,Rounded,,,,,Present,At the nadir of superjacent sinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Alnus,newberryi,Meyer and Manchester 1998,,,,,,,,,,,,,,,2,present,,present,,,,,Asymmetrical,Unlobed,Serrate,,Acute,,,,,present,,,Obtuse,,,present,,,,,,,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Uniform,,,,,,,Percurrent,Opposite percurrent - Straight,,,,,,,Regular reticulate,Regular reticulate,,,,,Regular,2,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Plafkeria,obliquifolia,From picture,,,,,,,,,,,,,,,1.5,,,present,,,,Asymmetrical,Asymmetrical,Unlobed,Untoothed,Undulate,,,,,,,,,Acute to Obtuse,,,,present,,,,,present,,,,,,,,,Basal actinodromous,,6,,Brochidodromous,,,,Gradually increasing proximally,Uniform,Excurrent,,,,,,Percurrent,Opposite percurrent - Straight,Perpendicular,,,,,,Opposite percurrent,Regular reticulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Acer,oligomedianum,Wolfe and Tanai 1988,,,,,,,,,,,,,,,.8,present,,,,,,Symmetrical,Symmetrical,Palmately Lobed,Serrate,,Acute,present,,,,,,,Obtuse to Reflex,,,present,present,,,,,present,,,,,,,,,Palinactinodromous,,5,,Craspedodromous,,,,,,,,,,,,Percurrent,,,,,,,,Regular reticulate,Regular reticulate,,,,,Regular,2,,Angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Alnus,sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),Pterocarya,sp,Meyer and Manchester 1998,,,Compound,,,,,,,,,,,,3.5,present,,present,,,,Asymmetrical,Asymmetrical,Unlobed,Serrate,,Acute,present,,,,,,,Acute to Obtuse,present,,present,,,,,,present,,,,,,,,,pinnate,,,,Brochidodromous,,,,,Uniform,,,,,,,Percurrent,Opposite percurrent - Straight,,,,,,,,,,,,,Regular,1,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
